State,Name of District (Traffic unit),Name of Jurisdictional Police Station,NH/SH/MDR/OR No.,Name of Location Place,Limits of High Accident Prone Location - Starting from (km),Limits of High Accident Prone Location - Ending to (km),Numbers of Accidents - 2016,Numbers of Accidents - 2017,Numbers of Accidents - 2018,Numbers of Accidents - Total of all three years,Numbers of Fatalities - 2016,Numbers of Fatalities - 2017,Numbers of Fatalities - 2018,Numbers of Fatalities - Total of all three years
Tripura,West,Amtali PS,NH,Siddhi Ashram,1 mtr.,400 mtrs.,7,4.0,3.0,14,3,3.0,1.0,7
Tripura,SPJ,Bisramganj,NH,Chesrimai to Puskar Bari,0,1/2 KM,7,3.0,4.0,14,5,1.0,0.0,6
Tripura,West,Ranirbazar PS,NH,Bridhinagar,1 mtr.,425 mtrs.,6,2.0,4.0,12,2,2.0,1.0,5
Tripura,Gomati,R.K. Pur PS,NH,Chanban to rajarbag Motor Stand,0,500 mtrs.,3,4.0,2.0,9,0,2.0,3.0,5
Tripura,Dhalal,Manu PS,NH,S.K. Para area,378.00 KM,378.00 KM,1,2.0,0.0,3,1,3.0,0.0,4
Tripura,West,Amtali PS,NH,Sekher Kote,1 mtr.,450 mtrs.,3,5.0,6.0,14,1,2.0,1.0,4
Tripura,West,Amtali PS,NH,Surjyamoni Nagar,1 mtr.,350 mtrs.,5,3.0,6.0,14,1,0.0,3.0,4
Tripura,Gomati,R.K. Pur PS,NH,Peratia to Natintilla,0,500 mtrs.,2,3.0,3.0,8,1,2.0,1.0,4
Tripura,North,Churaibari,NH,Sanicherra,6 KM,5 KM,0,0.0,3.0,3,0,0.0,2.0,2
Tripura,Unakoti,Kumarghat-Pecharthal,NH,Sidhangcherra,12 KM,0.5 KM,2,3.0,0.0,5,0,2.0,0.0,2
Kerala,Kollam rural,Kundara,NH 744,Keralapuram,9.75,10.25,16,17.0,3.0,36,9,9.0,10.0,28
Kerala,Alappuzha,Aroor,NH 66,Aroor Bypass to Aroor Temple,.250 north,.250 south,71,34.0,59.0,164,9,6.0,11.0,26
Kerala,Alappuzha,Haripad,NH 66,Karuvatta- Vazhiyambalam,.350 south,.150 north,17,42.0,16.0,75,6,9.0,4.0,19
Kerala,Alappuzha,Aroor,NH 66,Eramalloor,.250 north,.250 south,36,42.0,38.0,116,9,6.0,3.0,18
Kerala,Alappuzha,Aroor,NH 66,Chandiroor,.150 north,.350 south,27,31.0,30.0,88,5,7.0,5.0,17
Kerala,Alappuzha,Haripad,NH 66,Madhava Junction- Haripad- KSRTC JN,.350 south,.150 north,16,20.0,35.0,71,3,3.0,9.0,15
Kerala,Alappuzha,Kareelakulangara,NH 66,Ramapuram,.250 north,.250 south,13,13.0,17.0,43,5,2.0,6.0,13
Kerala,Kannur,Valapattanam,NH,Pappinisseri Chungam to Velapuram,00 Mtr,500 Mtr,10,8.0,10.0,28,6,3.0,4.0,13
Kerala,Alappuzha,Kuthiathode,NH 66,Thuravoor St George Church to  Reliance Petrol Pump,.250 north,.250 south,36,26.0,24.0,86,3,6.0,3.0,12
Kerala,Kozhikode Rural,Vatakara,NH,Kainatty,"Kainatty
001 Meter","KT Bazar
500 Meter",10,12.0,9.0,31,3,4.0,5.0,12
Telangana,Suryapet,Kodad Town,NH 65,SRM School,177,177/4,3,0.0,1.0,4,5,0.0,18.0,23
Telangana,Sangareddy,Sadasivpet,NH 65,Nandikandi outskirts,76.5,76,17,7.0,7.0,31,15,1.0,6.0,22
Telangana,Sangareddy,Kondapur,NH 65,Malkapur X Road,56.5,56,13,15.0,7.0,35,7,10.0,5.0,22
Telangana,Sangareddy,Patancheru,NH 65,Muthangi (V) limits,33.5,33,9,14.0,7.0,30,8,5.0,7.0,20
Telangana,Rachakonda,Ghatkesar PS,NH 163,Aushapur Village,29 Kms,29.5 Kms,17,9.0,12.0,38,7,5.0,7.0,19
Telangana,Sangareddy,Patancheru,NH 65,Isnapur X Road,35.5,35,12,10.0,13.0,35,9,3.0,5.0,17
Telangana,Suryapet,Kodad Town,NH 65,Mellachervu Fly Over,181,181/4,6,1.0,2.0,9,14,1.0,2.0,17
Telangana,Cyberabad,Narsingi,NH 163,Tippukhan bridge to Hydershakote,6.5 Kms,7 Kms,11,17.0,11.0,39,9,6.0,2.0,17
Telangana,Warangal,Mamnoor,NH 563,Nayudu Petrol Pump Cross,127,127.5,16,10.0,9.0,35,9,5.0,3.0,17
Telangana,Kamareddy,Devanpally,NH 44,Tekriyal /'X' ROAD,117.5,117,10,4.0,3.0,17,8,5.0,3.0,16
Maharastra,Dhule,Dhule Taluka,NH-6,Katsar Village,508/8,509/3,2,,,2,19,,,19
Maharastra,NANDED,Nanded Rural,NH- 361,Muslmanwadi Pati,15 km,15.5 km,1,2.0,2.0,5,1,7.0,5.0,13
Maharastra,Amravati Rural,Loni,NH-6,Nagzari Fata,177/950,177/950,1,4.0,3.0,8,1,5.0,4.0,10
Maharastra,Solapur Rural,Tembhurni,NH-65,Kanergaon Pati Solapur to Pune,162/350,162/850,6,3.0,,9,6,3.0,,9
Maharastra,Dhule,Dhule Taluka,NH-3,Near Purmepada Village,282/0,282/5,0,7.0,,7,0,6.0,,6
Maharastra,Bhandara,Jawahar Nagar,NH-53,Shahapur,500/600,500/600,2,5.0,4.0,11,1,2.0,2.0,5
Maharastra,Satara,Bhuinj,NH-4,Near Anewadi Valsure Pul,748,748,0,2.0,4.0,6,0,2.0,3.0,5
Maharastra,Amaravati City,GadgeNagar,NH - 6,"Gori In Hotel ""T"" Point",0,0,2,2.0,1.0,5,2,2.0,1.0,5
Maharastra,Dhule,Nardana,NH-3,"Gori In Hotel ""T"" Point",216/2,216/5,1,5.0,,6,1,4.0,,5
Maharastra,Sangli,Miraj City,NH-166,Near D mart pandharpur Road Miraj,196/1,196/6,1,4.0,,5,1,4.0,,5
Jammu and Kashmir,Ramban,Ramban,NHW-1A,Kelamorh,159,159.5,1,3.0,2.0,6,1,9.0,26.0,36
Jammu and Kashmir,Ramban,Ramsoo,NHW-1A,Nachlana,173,173.5,1,4.0,3.0,10,2,19.0,4.0,28
Jammu and Kashmir,Samba,Bari Brahmana,NHW-44,Railway crossing,13.5,14,5,6.0,6.0,23,6,4.0,5.0,19
Jammu and Kashmir,Ramban,Banihal,NHW-1A,Chamalwas,179,179.5,3,1.0,1.0,8,11,2.0,1.0,18
Jammu and Kashmir,Kathua,Kathua,NH,Barnoti Morh,8 km,8 ½ km,19,18.0,15.0,70,4,5.0,3.0,16
Jammu and Kashmir,Kathua,Rajbagh,NH,Rajbagh,500 mtrs,01 Km,15,10.0,17.0,75,3,0.0,6.0,14
Jammu and Kashmir,Ramban,Banihal,NHW-1A,Shatani Nallah,202,202.5,1,2.0,0.0,4,2,5.0,0.0,14
Jammu and Kashmir,Kathua,Lakhanpur,NH,Lakhanpur  to Golden Gate,500 mtrs,1 km,8,7.0,10.0,33,1,4.0,2.0,12
Jammu and Kashmir,Ramban,Banihal,NHW-1A,Shabanbass,180,180.5,3,0.0,1.0,6,8,0.0,1.0,11
Jammu and Kashmir,Samba,Samba,NHW-44,Bus Stand Chowk,1,1.5,16,7.0,5.0,28,7,2.0,1.0,10
Jharkhand,Deoghar,Jasidih,NH-333,Near Digariya pahar,147.5,148,0,4.0,1.0,5,0,2.0,0.0,2
Jharkhand,Deoghar,Jasidih,NH-333,"Deoghar Jasidih road, Near Railway Over Bridge",156.8,157.3,1,2.0,2.0,5,1,1.0,1.0,3
Jharkhand,Deoghar,Mohanpur,NH-114A,"Hindolwaran,Deoghar Dumka road",121.65,122.15,3,2.0,2.0,7,2,2.0,0.0,4
Jharkhand,Dumka,Dumka town,NH114A,Pusaro Bridge,66.5,67,0,1.0,5.0,6,0,1.0,3.0,4
Jharkhand,Dumka,Jama,NH114A,Asanthar,82,82.5,1,2.0,2.0,5,0,2.0,0.0,2
Jharkhand,Dumka,Jarmundi,NH114A,Basukinath Bus Stand,87,87.5,1,0.0,5.0,6,1,0.0,4.0,5
Jharkhand,Dumka,Jarmundi,NH114A,Jarmundi Bajrangbali More,92,92.5,6,1.0,1.0,8,5,0.0,0.0,5
Jharkhand,Dumka,Mufassil,NH114A,Dasoraidih,55.2,55.7,0,4.0,3.0,7,0,3.0,2.0,5
Jharkhand,Dumka,Saraiyahat,NH114A,Chihuntiya,104.5,105,0,3.0,2.0,5,0,3.0,3.0,6
Jharkhand,Dumka,Shikaripara,NH114A,"Patabari, Barmasia",48,48.5,9,2.0,2.0,13,5,0.0,2.0,7
Karnataka,Ramanagar District,Kaggalipura PS,NH 209,Agara Cross,7.5 Km,8  Km,9,24.0,35.0,68,13,14.0,10.0,37
Karnataka,Bagalkot District,BGK RL PS,NH 50,Devalapur Cross,0,500 (Mtrs),4,2.0,7.0,13,13,14.0,8.0,35
Karnataka,Ramanagar District,Traffic Station,NH-275,Mayaganahalli,8Km,8.5Km,8,9.0,13.0,30,13,14.0,3.0,30
Karnataka,Raichur District,Raichur Rural,NH,Base Pawer To M.P.C.L,0,500m,7,5.0,6.0,18,12,9.0,8.0,29
Karnataka,Chitradurga District,HIRIYUR RURAL POLICE STATION,NH-4,J.G.HALLI,17.5 km,18 km,9,12.0,6.0,27,7,12.0,9.0,28
Karnataka,Mandya,Mandya Traffic,NH-275,In front of east ps cross,263.1,263.3,8,11.0,9.0,28,4,11.0,12.0,27
Karnataka,Raichur District,Maski,NH,Lingasagur- Maski Road  Santekellur Near,0,500m,1,,6.0,7,1,,23.0,24
Karnataka,Bengalurr city,Electronic city Trffic Police Station,National Highway-07,Hosuru Main Road ( HULIMAVU  Tr PS TO Singasandra  Bus Stop TO  Singasandra Bus stop ),9.3 KM,9.7 KM,6,15.0,25.0,46,4,4.0,15.0,23
Karnataka,Ramanagar District,Kaggalipura,NH 209,Lakshmipura Temple,6 Km,6.5 Km,6,12.0,23.0,41,10,5.0,8.0,23
Karnataka,Bangalore District,Hebbagodi,NH-07,Hebbagodi Bus Stop,0.00 Km,100 M,8,9.0,6.0,23,8,9.0,6.0,23
Andhra Pradesh,EG,Ravulapalem PS,NH -16,"Govt J.R.Collage center,RTC Ingate",Colcutta 1036,Colcutta 1036.5,16,9.0,13.0,38,19,14.0,17.0,50
Andhra Pradesh,EG,Ravulapalem PS,NH -16,Ethakota center,Colcutta 1042,Colcutta 1042.5,13,14.0,11.0,38,15,16.0,16.0,47
Andhra Pradesh,EG,Ravulapalem PS,NH -16,Gopalapuam center,Colcutta 1047,Colcutta 1047.5,12,10.0,14.0,36,13,13.0,18.0,44
Andhra Pradesh,WG Dist,Palakol Rural,NH,Penkullapadu to Digamarru bypass center,500,500,12,13.0,5.0,30,15,16.0,6.0,37
Andhra Pradesh,EG,Coringa PS,NH-216,Gurajanapalli,Chollangi Bridge (1 KM),N.S.N Reddy Godowns (1.5 Km),5,8.0,5.0,18,9,13.0,9.0,31
Andhra Pradesh,Guntur Urban,NALLAPADU PS,NH-16,Y-Junction,to wards Y-Junction 0 meeters,to wards Y-Junction 300 meeters,10,18.0,36.0,64,4,8.0,17.0,29
Andhra Pradesh,Nellore,Sullurupeta ps,NH-16,Kotapoluru cross road,82+400,82+900,2,3.0,2.0,7,2,22.0,5.0,29
Andhra Pradesh,WG Dist,Palakol Rural,NH,Lankalakoderu center to S-Turning.,500,500,9,6.0,4.0,19,13,10.0,6.0,29
Andhra Pradesh,Visakhapatnam District,Anakapalli (R),NH,KNR Peta,1,1.5,24,21.0,,45,18,9.0,,27
Andhra Pradesh,EG,Annavaram PS,NH-16,Kathipudi HP Petrol Bunk to Fly over Bridge,200 mtrs stome,800 Mtrs stone,9,14.0,9.0,32,3,14.0,9.0,26
Arunachal Pradesh,East Siang Distt.,Pasighat,NH -515,Sawmill area,Sawmill area,100 mtrs. Approx.,15,31.0,26.0,72,7,8.0,11.0,26
Arunachal Pradesh,Papum Pare,Itanagar PS,NH 415,Mithun gate/o point,Mithun gate/o point,0.5 km,2,2.0,1.0,5,0,0.0,1.0,1
Arunachal Pradesh,Upper Subansiri Distt.,Daporijo PS,NH 52,Post office Daporijo,Post office Daporijo about 1/2  km from PS,GREF camp Dapoprijo about 1 km from PS Daporijo,1,4.0,,5,0,1.0,0.0,1
Arunachal Pradesh,Papum Pare,Itanagar PS,NH 415,Bank Tinali,Bank Tinali,0.5 km,3,1.0,3.0,7,0,0.0,0.0,0
Arunachal Pradesh,Papum Pare (Capital),Itanagar PS,NH 415,"Ganga, Near RKM Hospital","Ganga, Near RKM Hospital",0.5 km,2,3.0,0.0,5,0,0.0,0.0,0
Chandigarh,Chandigarh,Sector-31,NH-5,Airport L/Point to CRPF Campus Hallo Majra,7.54,7.04,2,5.0,5.0,12,2,6.0,4.0,12
Chandigarh,Chandigarh,Sector-31,NH-5,Poultry farm Chowk to BSNL Turn,5.03,4.53,4,4.0,4.0,12,4,4.0,3.0,11
Chandigarh,Chandigarh,Sector-31,NH-5,Tribune Chowk,4.1,4.6,3,0.0,3.0,6,3,0.0,3.0,6
Chandigarh,Chandigarh,Sector-31,NH-5,Hallomajra L/Point,5.12,5.62,4,1.0,1.0,6,3,1.0,1.0,5
Chandigarh,Chandigarh,Sector-36,NH-5,In front of ISBT- Sec.43,2,2,3,2.0,1.0,6,2,2.0,1.0,5
Chandigarh,Chandigarh,Sector-39,NH-5,Badheri Chowk,4.2,4.7,3,1.0,2.0,6,1,1.0,2.0,4
Chhattishgarh,Balrampur,Balrampur,NH 343,Daldhova,73.8,74.3,1,1.0,0.0,2,18,1.0,0.0,19
Chhattishgarh,RAIPUR,AMANAKA,NH 53,TATIBANDH CHOWK SE SARONA OVERBRIZE TAK,9.8,10.3,5,4.0,2.0,11,5,4.0,8.0,17
Chhattishgarh,Sarguja,Ambikapur,NH 130,Mendrakalra,210.6,211.1,4,5.0,5.0,14,4,5.0,4.0,13
Chhattishgarh,RAIPUR,RAJENDRA,NH 53,PACHPEDINAKA,0.8,0.9,5,5.0,2.0,12,5,5.0,2.0,12
Chhattishgarh,Mahasamund,Sankara,NH-53,Sankara,156.02,156.08,2,6.0,1.0,9,3,8.0,1.0,12
Chhattishgarh,Rajnandgaon,Lalbag,NH 53,Pendri,346,346.4,4,7.0,3.0,14,2,7.0,3.0,12
Chhattishgarh,Bilaspur,Ratanpur,NH 111,Khandoba Sanjhipara Bypass,21,21.5,21,2.0,8.0,31,7,3.0,2.0,12
Chhattishgarh,Bilaspur,Sirgitti,NH 130,Tifara Overbridge,5,5.5,9,0.0,4.0,13,5,4.0,2.0,11
Chhattishgarh,Sarguja,Ambikapur,NH 130,Sandbar,218,218.5,6,4.0,3.0,13,5,4.0,2.0,11
Chhattishgarh,Durg,Old Bhilai,NH-53,Charoda,302.5,303,4,3.0,2.0,9,5,3.0,2.0,10
Goa,North Goa,Old Goa,NH  748,"Malik Petrol Pump, Corlim (500 mtrs)","Railway Bridge, Corlim (250 Mtrs)","Cross Mollar, Corlim (250 Mtrs)",3,3.0,1.0,7,3,7.0,1.0,11
Goa,North Goa,Agacaim,NH  66,Agacaim Bypass road (500 Mtrs),Toll Naka (250 Mtrs),Edward Barand rest (250 Mtrs),7,0.0,1.0,8,8,0.0,1.0,9
Goa,North Goa,Porvorim,NH  66,Damian De Goa to Tisk Porvorim (500 Mtrs),Damian De Goa (250 Mtrs),Tisk Porvorim (250 Mtrs),3,6.0,1.0,10,3,5.0,1.0,9
Goa,South Goa,Collem,NH 66,Anmod Ghat (12 km),Nandran     (6 km),Goa Border (6 km),4,7.0,1.0,12,3,4.0,2.0,9
Goa,North Goa,Porvorim,NH 66,Old Porvorim Bazar (500 Mtrs),Damiandi Goa (250 Mtrs),Tisk Porvorim (250 Mtrs),3,6.0,,9,3,5.0,,8
Goa,North Goa,Pernem,NH 66,Naibag Slope (500 Mtrs),Panjabi Dhaba (250 Mtrs),Naibag Junction (250 Mtrs),1,5.0,,6,1,6.0,,7
Goa,North Goa,Porvorim,NH  66,Holy Family Church to Wadakadem (500 Mtrs),Holy Family Church(250 Mtrs),Wadakadem Porvorim (250 Mtrs),3,3.0,2.0,8,3,2.0,1.0,6
Goa,North Goa,Pernem,NH  66,Chopdem Junction  (500 Mtrs),Near Chopdem bridge (250 Mtrs),Agarwada Junction (250 Mtrs),1,4.0,2.0,7,1,2.0,3.0,6
Goa,South Goa,Ponda,NH 748,Cone Farmagudi (500 Mtrs),Cone Priol (250 Mtrs),Farmagudi out Post  (250 Mtrs),2,3.0,7.0,12,1,1.0,4.0,6
Goa,South Goa,Vasco,NH 566,Dabolim (1Km),Dabolim Railway Bridge (500 Mtrs),Air Port Junction (500 Mtrs),3,4.0,5.0,12,1,2.0,3.0,6
Gujarat,Surat rural,kosamba,N.H-48,Pipodara,235,235.5,19,18.0,29.0,66,15,13.0,17.0,45
Gujarat,"Vadodara
Rural",Varnama,NH,"Por Itola
Chokdi",12,12.5,10,5.0,15.0,30,12,5.0,24.0,41
Gujarat,Vadodara Rural,Karjan,NH 48,"Near Sansrod
Chokdi",21,21.5,5,7.0,14.0,26,8,12.0,18.0,38
Gujarat,Vadodara Rural,Karjan,NH 48,"Near
Kandari Chokdi",6,6.5,5,11.0,9.0,25,8,14.0,15.0,37
Gujarat,Vadodara city,Makarpura,8,"Sundarpura patiya To Ah' bad km.
Jambuva
bridgi",131.5,132,12,12.0,12.0,36,7,15.0,8.0,30
Gujarat,"Vadodara
Rural",Varnama,NH,"Varsada
Chokdi",4.5,5,5,6.0,7.0,18,12,8.0,10.0,30
Gujarat,GIR SOMNATH,UNA,NH-51,"NATHEJ VILLAGE
NEAR",4,4.5,4,4.0,0.0,8,22,8.0,0.0,30
Gujarat,GIR SOMNATH,UNA,NH-51,"NALIYA MANDVI NAGINA DHORA
PASE",10,10.5,4,4.0,,8,22,8.0,,30
Gujarat,Surat rural,kosamba,N.H-48,"Nandavpati
ya",224,224.5,14,17.0,20.0,51,11,7.0,11.0,29
Gujarat,Vadodara Rural,Karjan,NH 48,Near Bamangam,11.5,12,5,6.0,7.0,18,8,11.0,9.0,28
Haryana,Sonipat,Murthal,44,Kamaspur Chowk,46.1,46.6,9,9.0,14.0,32,10,16.0,13.0,39
Haryana,Sonipat,Rai,44,Balgarh Chowk,41.9,42.4,14,10.0,10.0,34,11,16.0,11.0,38
Haryana,Ambala,Parao,44,Near Vill. Mohra,191.4,191.85,10,10.0,11.0,31,10,8.0,10.0,28
Haryana,Ambala,Parao,44,Shastri cut,197.97,198.47,4,4.0,9.0,17,4,8.0,8.0,20
Haryana,Sonipat,Kundli,44,Pau Maniyari cut,31.73,32.2,8,4.0,4.0,16,10,4.0,4.0,18
Haryana,Sonipat,Rai,44,Rai cut,38.82,39.22,5,6.0,7.0,18,7,6.0,5.0,18
Haryana,Sonipat,Rai,44,Biswan meel,37.36,37.9,5,5.0,6.0,16,6,5.0,6.0,17
Haryana,Fatehabad,Sadar,9,Dariyapur,227.2,227.22,6,4.0,5.0,15,4,4.0,8.0,16
Haryana,Panipat,Chandni Bag,44,Siwah cut,84,84.5,4,6.0,14.0,24,3,5.0,5.0,13
Haryana,Faridabad,Sec-37,44,NHPC Metro Station,21.7,22.2,1,3.0,6.0,10,1,4.0,5.0,10
Himachal Pradesh,Mandi,BSL Colony Sundernagar,NH 21,Tail Control,Humsafar chowk 177/530,Tail Control 177/990,4,2.0,3.0,9,9,4.0,11.0,24
Himachal Pradesh,Mandi,BSL Colony Sundernagar,NH 21,Naresh Chowk,Tail Control 177/990,Naresh Chowk 178/255,1,7.0,3.0,11,1,12.0,4.0,17
Himachal Pradesh,Shimla,Theog,NH-5,Near Dogra Mod Sandhu,178.3,178.5,5,6.0,4.0,15,4,3.0,7.0,14
Himachal Pradesh,Shimla,Kumarsain,NH-5,Singhapur,252.9,253.26,2,4.0,1.0,7,3,6.0,2.0,11
Himachal Pradesh,Shimla,New Shimla,NH-5,Mist Chamber Crossing to Khalini Bifurcation,146.2,146.7,2,2.0,3.0,7,6,2.0,3.0,11
Himachal Pradesh,Baddi,Baddi,NH/105,Kishanpura,24/600,25/100,10,5.0,,15,7,3.0,,10
Himachal Pradesh,Shimla,Kumarsain,NH-5,Reddi Khad,208.5,209,2,4.0,1.0,7,3,6.0,1.0,10
Himachal Pradesh,Kangra,Shahpur,NH 154,Sarnu near water kuhal,63/735,63/885,2,4.0,2.0,8,2,5.0,2.0,9
Himachal Pradesh,Kangra,Indora,NH 44,Mohtali ramp,104/740,104/760,2,3.0,3.0,8,3,3.0,3.0,9
Himachal Pradesh,Baddi,Baddi,NH/105,Bhud,22/400,22/900,9,11.0,,20,3,6.0,,9
Manipur,Thoubal,Thoubal PS,NH 102,Thoubal Haokha area,Haokha area 1.5 km,Keyam Sephai 2 km,3,9.0,,12,1,2.0,,3
Manipur,Kakching,Kakching,NH 102,Kakching Khunuta Ching,"3kms, Kakching Lamkhai",3 kms and 500m. Sora Village,2,2.0,2.0,6,0,1.0,1.0,2
Manipur,Thoubal,Thoubal PS,NH 102,"Heirok Lamkhai, Wangjing",Wangjing Bazar-5 km,Uningkhong Wangjing -5.5 km,6,1.0,3.0,10,1,0.0,0.0,1
Manipur,Kakching,Kakching,NH 102,Heitroipokpi near power house,"4 kms and 500 m, Lengba Loukol","5 kms, Kuraopokpi",4,2.0,3.0,9,0,0.0,1.0,1
Manipur,Kakching,Kakching,NH 102,Kakching Lamkhai,"2 kms and 500 m, Irumphal, Kakching","3kms, Khunuta Chingjin",4,1.0,2.0,7,0,0.0,0.0,0
Megahalaya,Jowai traffic Branch,Jowai,NR,Wah Gate Chahtngit Jowai,0km,0.5km,0,9.0,2.0,11,0,2.0,0.0,2
Megahalaya,East Jaintia Hills,Khliehrait PS,NH,Byndihati,6km,6km,7,,,7,1,,,1
Megahalaya,Jowai traffic Branch,Jowai,NR,Mooralong NH44,0km,0.5km,5,4.0,5.0,14,0,0.0,0.0,0
Mizoram,AIZAWL,VAIVAKAWN,NH,RANGVAMUAL,2,7,3,3.0,4.0,10,4,3.0,5.0,12
Mizoram,AIZAWL,KULIKAWN,NH,WORLD BANK ROAD,2,7,1,2.0,2.0,5,1,2.0,2.0,5
Mizoram,KOLASIB,KOLASIB,NH-306,KHUANGPUILAM,1,2,0,2.0,1.0,3,0,2.0,1.0,3
